,Star Temperature [K],Planet Temperature [K],Planet Radius [Rjup],Total Observation Time [days]
1808,6266.0,1217.087234,0.951396054,47.587500000000006
1809,5956.9,900.1059576,0.521548349,6.016875000000001
1810,5475.0,2040.694695,0.810377733,20.9405
1811,5337.0,1684.064691,1.338545799,62.947500000000005
1812,7076.3,2002.44425,1.232472496,17.409374999999997
1813,3364.0,1113.342205,1.008580578,0.09437499999999999
1814,4779.03,963.4726219,0.604733092,13.41
1815,6624.0,1762.554983,1.427954371,12.189375000000002
1816,5730.0,1236.999789,0.324067997,40.964999999999996
1817,5203.0,1037.84918,1.331760069,1.734375
1818,7070.0,1890.64396,0.803582807,26.6825
1819,5854.0,1439.931732,0.850830523,45.73800000000001
1820,8190.0,1769.080754,1.985079888,1.6824999999999999
1821,6252.01,1949.147123,1.28658323,5.954000000000001
1822,6399.92,1820.679704,1.403150195,15.673500000000002
1823,5223.0,829.1777427,0.412557904,32.025000000000006
1824,3996.0,580.6985888,0.226999311,30.154385725
1825,7137.0,2020.629444,0.968968072,14.157499999999999
1826,5996.0,1732.502514,1.151391822,25.55025
1827,6350.0,1529.25869,1.245259974,12.39225
1828,6589.0,1461.373251,1.414708002,14.004000000000001
1829,7451.0,2316.632762,1.567549092,0.4105
1830,6892.94,2094.022508,0.983877173,48.028124999999996
1831,7054.0,1841.291711,1.420625768,11.21
1832,4909.0,1307.482057,0.994056628,2.4286583999999998
1833,5473.0,1957.901863,1.259186601,14.673750000000002
1834,6617.0,1430.082237,1.429928939,2.020625
1835,6472.0,1985.799211,1.426169042,3.5088749999999997
1836,6347.0,1300.730742,1.16042124,10.098
1837,6674.0,2200.011137,1.203766263,1.44245475
1838,6643.0,2190.700869,0.954059141,9.2565
1839,5296.0,1484.779731,1.414763853,7.275963012499999
1840,6400.0,1799.740662,1.437062212,14.105
1841,6071.0,1786.123099,0.858309859,6.4725
1842,7759.0,2106.326142,1.439719921,4.733625
1843,7528.0,1748.694541,1.076962876,35.8
1844,6107.0,1613.198408,1.082734049,15.2775
1845,6328.0,1472.426841,1.350932784,6.4075
1846,6214.0,1608.854027,1.364180083,2.9354999999999998
1847,4824.0,896.9050925,0.698089021,19.432375
1848,6347.0,1510.810602,0.591888974,17.0625
1849,4883.7,1070.296347,0.695677518,11.560499999999998
1850,6675.0,2048.964468,0.772067339,27.080999999999996
1851,5902.0,1047.881289,0.489859298,52.1125
1852,6688.0,2345.578013,1.111488697,29.404374999999998
1853,7586.0,1887.339827,1.191267715,10.841624999999999
1854,5736.0,1268.274628,1.310639119,2.7293370125
1855,5750.0,1470.985886,1.310559751,20.929499999999997
1856,6137.0,1351.836402,1.246715087,21.21525
1857,6195.97,2554.579016,1.69267752,4.5326249999999995
1858,7194.0,1933.541288,1.11441651,19.55425
1859,8086.0,2037.037746,1.228335987,12.087041199999998
1860,7013.0,1757.78693,0.67897491,15.849375
1861,4866.9,665.5865025,0.446190883,36.75825
1862,5466.0,1466.700245,1.546624745,14.098624999999998
1863,7333.0,1585.257091,1.157763877,13.14
1864,5367.0,1648.175531,1.14731961,27.122717599999998
1865,4332.6,710.9299408,0.490407074,9.868500000000003
1866,7747.0,1493.661581,1.241113637,11.034249999999998
1867,3470.0,749.5766922,0.052519764,6.2627500000000005
1868,6176.0,2046.113942,0.954692186,41.559375
1869,6996.0,2144.340355,1.033582514,22.838375
1870,4395.0,1309.49131,2.037894605,3.8987499999999997
1871,7938.0,3260.873685,1.044497305,48.076875
1872,8277.0,2988.013086,1.433329266,15.845500000000001
1873,6718.0,1625.054799,1.132119589,17.502374999999997
1874,6549.0,1696.598655,1.492793238,3.9307499999999997
1875,6633.0,1554.211928,1.13715016,3.6569999999999996
1876,6534.0,1605.111423,1.180635993,27.944249999999997
1877,6951.0,1941.973696,1.770405719,3.980625
1878,7868.0,1975.040305,1.184576012,24.833
1879,6823.0,1926.83818,1.423469268,1.845625
1880,4884.2,816.4327387,0.863912267,25.673750000000002
1881,7102.0,1660.362267,1.056348674,35.288
1882,3830.0,814.6276671,0.3041572,20.192
1883,7228.0,2286.638188,1.334737635,6.97
1884,8065.0,1904.043695,1.199032719,15.508125
1885,8765.0,2736.402496,1.796072967,5.38125
1886,6457.15,1227.149487,1.526793319,4.408720425
1887,7514.0,1782.797661,1.293935946,20.15625
1888,4689.0,791.4146238,0.458354354,22.941875
1889,5809.92,924.8097965,1.153588648,15.561
1890,6681.0,1501.652941,1.260028942,2.065
1891,6050.0,1668.583026,1.492675048,6.255374999999999
1892,6687.0,2055.72571,1.120228591,11.223
1893,6987.0,1896.540327,1.101654663,9.536999999999999
1894,8232.0,2413.563117,1.434773922,10.496875
1895,7544.0,2429.524855,1.216064013,4.2345
1896,4138.96,762.8270109,0.394228529,15.188749999999999
1897,5804.0,1130.709252,0.57962535,40.3455
1898,5413.0,1808.98767,1.177304018,15.125250000000001
1899,7121.0,1668.091033,1.444765313,14.105
1900,5838.0,1841.077261,1.177937573,36.712500000000006
1901,5816.0,1370.630988,1.338624886,1.3325
1902,6274.0,1156.989828,0.682690418,64.352
1903,4722.0,758.0442993,0.841463148,44.1025
1904,6639.0,1834.01119,1.212369421,5.904000000000001
1905,6955.0,2321.185374,1.690593453,1.0305
1906,6975.0,1901.684355,1.174757707,11.395125000000002
1907,5823.0,1722.448916,0.98653338,15.0865
1908,10126.0,1943.651627,1.404433619,8.714
1909,6870.0,2087.27614,1.487889174,7.609500000000001
1910,8101.0,2317.434841,1.391660223,1.816875
1911,5078.0,905.1663356,1.062156886,8.20575
1912,4057.4,940.9080741,0.509988453,5.3725
1913,5639.0,1424.812499,0.910508202,30.282000000000004
1914,5654.0,1643.556461,1.003508249,48.3875
1915,6731.0,2208.181213,1.818600081,0.9542460749999999
